,Title,Url,Content
0,Rwanda intends to take away 4G monopoly from KTRN,https://www.newtimes.co.rw/article/4681/news/rwanda/rwanda-names-new-consul-to-indian-city-of-kolkata,"KIGALI-Hotel Classic, located in Kicukiro District in Kigali, was on February 3, temporarily closed for flouting safety, hygiene, and sanitation standards. According to the Rwanda Development Board (RDB), the hotel was shut down following a joint inspection. Apart from the temporary closure, the hotel also got a fine of Rwf500,000. In addition, RDB reminds all tourism and hospitality entities to maintain high standards in line with existing laws and regulations. ALSO READ: Kigali City launches new hygiene by-laws Emmanuel Nsabimana, the Head of Tourism Regulation at RDB, told The New Times that the inspection is still ongoing in other entities. Commenting on the timeline of the hotel reopening, Nsabimana said that much will depend on how they will comply with what they have been asked to correct. Inspection is being carried out by various institutions such as the Ministry of Health, Rwanda Standard Board, City of Kigali, and the water utility, WASAC, among others."
1,PHOTOS: Kagame receives credentials from 14 envoys,https://www.newtimes.co.rw/article/4706/news/rwanda/the-new-times-launches-new-podcast,"According to The Global Gender Gap Report, in 2021, Rwanda moved up from ninth place to seventh in the world’s top 10 gender-equal societies. In 2008, the Chamber of Deputies – the lower house – was the first elected national parliament where women were the majority, according to the Inter-Parliamentary Union (IPU). Among others, the proportion of lawmakers who are women in Rwanda is at 61.25 per cent today, way above the global average of 26.4 per cent. ALSO READ: Kigali declaration outlines ‘actions to achieve gender equality in Parliaments’ Rwanda has been at the top of the IPU’s monthly ranking of women in national parliaments for years. Despite the gains made in this and other areas of the country’s life towards gender equality, findings continue to show that a long journey has to be made to fully achieve gender equality in the country. Nonetheless, the country, or nation, has come a long way. Women weren&#039;t always treated fairly. They were not allowed, for example, to do certain things. Here are just five things Rwandan women could not do 50, or so, years ago. 1. Eating chicken or goat meat Shocked? On my part when I learned about it, I was surprised. It never occurred to me that one had to be a certain gender in order to enjoy a dish such as chicken or goat meat. Meat from goats is called chevon, by the way. In Rwandan cultural norms it was said that chicken or goat meat was a man’s dish. Rwandan women were advised to avoid goat meat. And according to old cultural belief, women or girls who ate goat meat would grow beards. 2. Building houses or climbing trees Due to the outfits or attires worn by Rwandan women in the past, they were not allowed to climb trees or build houses. This was seen as taboo when women were building or climbing trees because they exposed their bodies when doing so. As such, till this day, climbing trees is still engraved as something not very feminine, or ladylike. 3. Beating drums Rwandan women would do other forms of entertainment such as singing or dancing. They could dance and sing with men. However, when it came to beating the drums, only men were allowed. The Intore dance, the most popular traditional dance in Rwanda is performed in three forms including the ballet, or gushayaya, often performed by women. There is also the heroes&#039; dance performed by men and, lastly, the drums that used to be performed by men. But now, women drumming is no longer taboo in modern Rwanda since women rose above the stereotypes and are drumming beautifully next to their male counterparts. 4. Whistling Women who whistled were regarded as ill-mannered which resulted in them being disrespected if they were caught whistling. In Rwandan culture, it was believed that whistling was not feminine. People considered it undignified when a female whistled. ALSO READ: Kagame: Gender equality is not just a women’s issue 5. Milking cows Milking a cow was considered a man’s job in Rwandan culture. When the women were single and did not have a husband to milk the cows they would ask for assistance from their neighbors or other male figures present in their lives. It was believed that when milking a cow the position or sitting posture a lady used did not dignify women due to the attires they wore in the past. This is the reason why they were not allowed to milk cows."
2,"Starlink internet is fast and affordable, ICT Minister says",https://www.newtimes.co.rw/article/4909/news/international/baby-girl-born-under-rubble-of-earthquake-in-syria,"Rwanda Investigation Bureau (RIB) has warned the public against working with over 10 companies that are allegedly committing white-collar crimes. White-collar crimes refer to financially motivated, nonviolent or non-directly violent crimes committed by individuals, businesses and government professionals. They include wage theft, fraud, bribery, insider trading, labour racketeering, embezzlement, cybercrime, copyright infringement, money laundering, identity theft, forgery and others. The crimes also include Ponzi schemes, a form of fraud that lures investors and pays profits to earlier investors with funds from more recent investors. According to Thierry Murangira, the RIB spokesperson said that white-collar crimes are on the rise and named some of the companies behind. “There is a rising trend of white-collar crimes which are non-violent from violent crimes. People are stealing money and property in different deceitful ways. Recently we received complaints about Tomtranfers company that swindled cars from clients,” he said. Case file of Tomtransfers has been submitted to Prosecution on December 5, 2022, he said. Since July last year, RIB said it has received over 100 cases suing Tom Transfers Company. “This is not the only case of white-collar crimes,” he said, citing a company called Supermarketings Global Ltd that was recently suspended. The company and others were found to often require new members/recruits to pay a fixed amount of money to the scheme’s promoters often guised as a membership fee with the promise to receive a portion of new entrants’ fees. In 2019, RIB arrested the CEO of Supermarketings Global Ltd for involvement in illegal cryptocurrency trade “There is also Cavallon Ltd, BITSEC, and Gold Planning Artificial Intelligence, Binance, Kigali Analytics Trade with Diana Penda Africa, P & A Group represented by a person known as Shema among others that are using many tricks t swindle from people by pledging huge returns. Some include buying crypto currency, buying shares, online forex trading,” Murangira said. Murangira said that most of the companies are registered in RDB but their operations ‘are totally different from the businesses they registered.’ “For instance Cavallon Ltd registered to do advertising activities. They were doing activities that are totally different. People should invest in trusted companies and must be careful before investing. On January 7, seven people filed the complaint to RIB suing three people behind Gold Planning Artificial Intelligence which urges people to invest money in buying robots online saying it makes profits depending on their value. Two were arrested and one is still on the run,” he said. Pyramid schemes National Bank of Rwanda (BNR) has been warning Rwandans against working with unlicensed businesses involved in pyramid schemes. BNR warned against working with 3 Friends System Group Ltd, Onecoin or Kwakoo, among others, whose scams take the form of active pyramid schemes, multiple level marketing or cryptocurrency issuance through fake initial coin offering (cryptoscam)."
3,Rwandans in US host prayer banquet for country,https://www.newtimes.co.rw/article/4808/news/security/rising-riots-in-goma-hinder-cross-border-trade,"Rwanda has issued a notice of intent to “modify” the 4G LTE wholesale monopoly license granted to Korea Telecom Rwanda Networks (KTRN), a move that would allow for other companies to participate in the wholesale of 4G internet. A notice by Rwanda Utilities Regulatory Authority (RURA) served to KTRN has been published in the official gazette informing the latter about the modification of the license. ALSO READ: KTRN invests $10m in 4G network upgrade Among the reasons for the modification is the implementation of the new National Broadband Policy and Strategy adopted by the government in October 2022, which aims at enhancing competition to accelerate the access and adoption of broadband mobile services for all. The policy also aims at liberalizing technology deployments and wireless access spectrum assignments to ensure that all operators have the ability to deploy such advanced broadband services. Equally important, the policy notes, is supporting continued competition in the national fiber backhaul market, ensuring that all providers can continue investing to further extend their networks, including bringing fiber closer to end users. The New Times understands that the proposed license modification, among others, aims at adjusting the provisions in KTRN’s license that designate the company as a dominant organization over the wholesale of mobile broadband access services, intercity Broadband transport services, and international broadband transport services to border international gateways. It also looks to make amendments of the license to remove references imposing technology restrictions on any other licensed operator and to make the license technology-neutral, in addition to removing references that “are no longer” required, The new National Broadband Policy and Strategy proposes the redesigning of the market structure, shifting from service-based competition, and allowing for the deployment of advanced networks and services. “Thus, the implementation of the new National Broadband Policy and Strategy and KTRN License for network service provision, warrants the removal of the regulatory barriers that prevent other Telecom Operators from deployment of the latest available technology,” a statement from RURA reads in part. “RURA is therefore aiming to ensure that all licenses are technology neutral and contain provisions that allow other Mobile Network Operators to deploy 4G and beyond technologies to provide greater network capacity and faster connectivity across the national mobile networks,” the statement added. The modification of KTRN license for network service provision license, is expected to lead to a new telecommunication local market structure, as well as positively affect the business of 4G Retailers licensees who are currently operating under agreement with KTRN as the only wholesaler of 4G LTE. More about the KTRN-Rwanda deal In 2013, the government of Rwanda and Korean Telecom (KT) signed a 25-year deal to launch 4G wholesale in the country—a very unique business model in the world at that time. KTRN is a joint venture between Korea Telecom — with a 51 per cent stake — and the government, which owns a 49 per cent stake. Under the partnership, Korea Telecom was to offer its expertise and make a cash injection of around $140 million, while the government’s equity investment included its national fiber optic network assets, spectrum and a wholesale-only operator license of 25 years. KTRN is said to have been making losses, with figures showing the company made a $25.1 million loss in 2018 (figures released by the United States Securities and Exchanges Commission)."
4,Victims of Rusororo maize drier accident revealed,https://www.newtimes.co.rw/article/4738/news/rwanda/survivors-of-rusororo-tragic-accident-narrate-horrific-ordeal,"The City of Kigali was in May 2019 ranked the second most popular destination in Africa by the International Congress and Convention Association (ICCA) which represents the world’s leading association in handling, transporting and accommodating international meetings and events. ALSO READ: Kigali ranked Africa’s 2nd most popular conference destination For the second year in a row, Kigali maintained second place as preferred city in Africa after Cape Town on ICCA rankings following a 2019 report released on May 12, 2020. Rwanda moved forward two positions attaining third place in Africa as preferred country in Africa after South Africa and Morocco. By and large, Kigali is well known for its clean, beautiful and well-maintained safe streets. ALSO READ: Rwanda named among TIME magazine’s top destinations In this article, we explore 10 of Kigali’s not to miss tourist attractions. 1. Rwanda Art Museum The country’s sole museum of contemporary art, the Rwanda Art Museum opened to the public in May 2018. Formerly the Presidential Palace Museum, this museum displays contemporary artworks from Rwanda as well as abroad. The museum seeks to provide an insight into the originality of Rwandan creativity. Exploring the development of art from olden times to the modern day, it considers how traditional and modern imaginations can blend and fuse. The flight debris from the presidential jet that went down on April 6, 1994 remains in the backyard and this will remain a heritage site. It is located just about four kilometer from Kigali International Airport. 2. Campaign against Genocide Museum President Paul Kagame on Wednesday officially opened the Campaign Against Genocide Museum in December 2017. The Campaign Against Genocide Museum is housed in the Parliamentary building. It was established to showcase the history of Rwanda during the campaign against the genocide against the Tutsi. The Parliament was chosen as the location for this museum because it hosted 600 Rwanda Patriotic Army soldiers from December 1993 to 1994 as they were preparing for the formation of the Broad-Based Transitional Government and the National Transitional Assembly. ALSO READ: Inside Campaign against Genocide Museum The museum is modernly furnished partially with traditional artefacts and traditional wall cladding. The well-lit interior is lined with digital pictures and embedded audio and visual videos and pictures for visitors to watch, read and listen. It displays how the Rwanda Patriotic Army stopped the 1994 Genocide and saved thousands of Tutsi who were being hunted and killed. 3. Kandt House Museum Richard Kandt was the first colonial governor of Rwanda, on behalf of Germany, until the early 1900s. The Kandt House Museum, previously known as the Kandt House Museum of Natural History, is located in Nyarugenge District near the former Nyarugenge Prison. ALSO READ: A look at Dr Richard Kandt’s house turned museum The museum presents Rwandan life in all its aspects social, economic, and political before the colonial period and Richard’s deeds in Rwanda. There is also an additional exhibit of live reptiles such as Nile crocodiles, snakes such as black mamba, python, cobra and others found in the Rwandan countryside. 4. Umusambi Village Umusambi Village has been established as Kigali’s first wildlife sanctuary and nature reserve originally to rehabilitate and host the grey crowned cranes rescued from captivity. ALSO READ: Kigali wetland turns into reserve for grey crowned cranes Umusambi Village is about 21 hectares of restored wetland that had been destroyed for settlement and agriculture. It is a wonderful spot to visit for nature walks where you observe and learn about these elegant Grey crowned Cranes and experience nature in Kigali. It offers a perfect place to retreat. Umusambi Village is an environmentally sound place of interest for tourists and locals to visit. 5. Nyandungu Urban Wetland Eco-Tourism Park The restoration of the Nyandungu wetland and creation for an eco-tourism park saw the planting of 17,000 trees made up for 55 indigenous species. The 121-hectare park features a medicinal garden, a Pope’s Garden, five catchment ponds, three recreation ponds, an information centre, a restaurant as well as 10 kilometres of walkways and bike lanes. The Nyandungu Eco-Park provides a space for residents and visitors to the city to explore and learn from nature. It is the first public recreational and touristic facility of its kind in Kigali. With 121.7 hectares in size, including 70 hectares of wetland and 50 hectares of forest, Nyandungu Eco-Park is home to more than 62 local plant species and hosts more than 100 bird species. Visitors enjoy birdwatching, hiking and cycling on car-free bike lanes as well as access to educational services and peaceful gardens with fresh air. Nyandungu Eco-Tourism Park is located in the valley between Kimironko and Masoro in Ndera sector. 6. Kigali Genocide Memorial In 1999, the city provided land where a place of remembrance could be built and where victims of the 1994 Genocide against the Tutsi could be given a dignified burial. Construction of the Kigali Genocide Memorial began in the same year and the process of properly burying the victims of the genocide began in 2001. Today the memorial serves as the final resting place for more than 250,000 victims of the 1994 Genocide. The Kigali Genocide Memorial, one of Rwanda&#039;s dark tourism sites, comprises three permanent exhibitions, the largest of which documents the 1994 Genocide against the Tutsi. ALSO READ: My first time touring the Kigali Genocide Memorial site It also has a children’s memorial in addition to an exhibition on the history of genocidal violence around the world. The education center, gardens and Genocide Archive of Rwanda contribute to a meaningful tribute to those who perished and provides a powerful educational experience for visitors. 7. Imbuga City Walk Imbuga City Walk is the main car free zone located in Kigali’s central business area that was transformed into recreation and green space with pedestrian and cycling friendly pavements, green corridor landscaping, kiosks for a food court and other items, an exhibition zone in addition to a kids playground. VIDEO: Explore the new Imbuga City Walk There are several facilities in place such as street benches and free WiFi, city lounge and arcade, pedestrian- friendly street lamps and public toilets. 8. Biryogo car free zone Biryogo car free zone’s streets are painted in different colors mostly known as “Mu marange” with food kiosks and restaurants known for its Swahili cuisine, and aromatic beverages. These busy streets always look like a food festival site. ALSO READ: Biryogo: Beating the odds to become the home of diversity The home of thé vert (green tea) and other soft drinks, the Biryogo car free zone allowed a neighborhood which never goes to sleep to serve the entire city with its unique recipes. They say the ambiance in this car free zone can only be lived, rather than told. 9. Gahanga Cricket Stadium Gahanga Cricket Stadium also known as Kicukiro Oval, is a cricket ground in Kigali. It is Rwanda’s first dedicated international cricket ground and it has quickly become a prominent ground in African cricket. ALSO READ: Gahanga Cricket Stadium captures Rwanda’s bouncing spirit Gahanga Cricket Stadium opened in October 2017 and has been dubbed the ‘Lord’s of East Africa.’ The not-for-profit ground consists of an ICC international standard wicket with pavilion and bar, as well as community facilities. It has won and been nominated for several prestigious architecture and engineering awards. Its three vaults, designed to mimic the trajectory of a bouncing ball, as well as Rwanda’s rolling hills, were constructed out of 66,000 tiles – each handmade, predominantly using local labour – made primarily from local earth excavated on site. 10. Kigali Golf and Resort and Villas The Kigali Golf Resort and Villas is the latest luxury tourism destination in Rwanda. It is also a beautiful urban illustration of development that elevates the natural environment and local capacity in Kigali. The Kigali Golf Resort and Villas has an 18 hole golf course along with the Nyarutarama Lake, “lover’s lake,” surrounded by a walking track set within lush green vegetation and abundant bird life. Among others, Kigali is the fifth best place to visit according to Forbes, and the ambition is to become the next greatest golfing destination not only in Africa but in the world."
5,Ibere rya Bigogwe proprietor reveals bigger plans after inking land deal,https://www.newtimes.co.rw/article/4677/news/rwanda/agathe-uwiringiyimana-a-hero-whose-entire-political-career-had-seen-constant-threats,"Prime Minister Edouard Ngirente on Friday, January 3, condoled with the grief-stricken families whose members passed on in a tragic accident in Rusororo sector, Gasabo district. At around noon, a maize drying shelter collapsed in Rusororo, killing 11 people while more than 30 were critically injured, according to Rwanda National Police (RNP.) Those injured, however, are being attended to by emergency health personnel and evacuated to medical facilities according to a communique released by the Office of the Prime Minister. “The government will provide appropriate support to the bereaved families and the injured,” the communique read in part. Measures to ensure the safety of built structures will be reinforced to avoid similar incidents in the future, it added. Details of the accident were not shared by time of publication."
6,Rwanda names new consul to Indian city of Kolkata,https://www.newtimes.co.rw/article/4912/news/religion/anglican-leaders-to-meet-in-kigali-over-church-of-englands-support-for-lgbtq,"Engen and Vivo Energy have announced a plan to merge their respective African businesses so as to create one of Africa’s largest energy distribution companies. The combined group will have over 3,900 service stations and more than two billion litres of storage capacity across 27 African countries. Petronas – a global energy group committed to delivering and optimizing clean energy solutions – will sell its 74 percent shareholding in Engen to Vivo Energy at completion. The Phembani Group, Petronas’ long-standing partner in Africa and Engen’s B-BBEE shareholder, will remain invested as a 21 percent shareholder in Engen. The transaction is expected to benefit employees of Engen through a newly implemented 5 percent employee share ownership programme, resulting in Engen South Africa being 26 percent owned by previously disadvantaged parties. Stan Mittelman, CEO of Vivo Energy said the company’s focus has been to invest in growing its business, and it has doubled the network size since its formation in 2011. “Four years ago, we acquired the Engen business in nine African markets, and have since worked to enhance and develop these. Vitol’s full acquisition of Vivo Energy last year brings more opportunities to grow even faster.” “The completion of this transaction, which reunites the Engen brand across Africa, will be a step change in our growth and represents a significant commitment to the South African market whilst enhancing Vivo Energy’s portfolio in other important markets,” he added. Seelan Naidoo, Managing Director and CEO of Engen said this provides an opportunity for Engen to build on its market leading position in South Africa and a number of southern African countries. “It allows us to leverage our strong brand equity, leading retail footprint, extensive supply chain capability and unrivalled customer service to be a leading contributor to Vivo Energy and Vitol’s ambition to build a stronger and more successful Pan-African energy champion.” “Engen is excited to become part of the enlarged business and this will set up our business to be stronger and more successful than ever before,” he added. Phuthuma Nhleko, Chairman and Co-founder of Phembani Group said: “The Phembani Group is proud to have been a long-term shareholder in Engen since 1999, partnering with Petronas and helping to grow Engen into a valuable South African corporate citizen, meeting the needs of millions of ordinary South Africans. “We are pleased to partner with Vivo Energy in the next phase of Engen’s growth. We are confident that together we will support Engen’s continued growth, enabling it to realise its vision,” he noted. Chris Bake, Chair of Vivo Energy said Vivo Energy has been a success story since its inception. It has grown consistently, both organically and by investing in modern quality assets. “It has a highly professional and capable management team with a deep understanding of Africa’s unique energy requirements. Engen is South Africa’s market-leader and this powerful combination will benefit customers in South Africa and across the continent.” The transaction is currently pending regulatory approvals and fulfilment of conditions precedent. Engen is the clear market leader in South Africa and has around 1,300 service stations across seven African countries. Vivo Energy is a major Pan-African retailer and distributor of fuels and lubricants to retail and commercial customers, with over 2,600 service stations across 23 African countries, using the Engen and Shell brands."
7,Classic Hotel closed over hygiene,https://www.newtimes.co.rw/article/4896/news/women/five-things-rwandan-women-couldnt-do-50-years-ago,"Governor François Habitegeko has urged youths in Western Province to be more conscious of the choices they make in life as they define who they will be in the future and how they will be remembered. ALSO READ: Youth urged to embrace heroic values He made the call on January 31, at a concert to mark Heroes Day which is celebrated every February 1. “A person’s legacy is defined by the choices they make. We are paying tribute to our heroes who made good choices. You should emulate them” Habitegeko said. He added that You should never give up once you encounter problems, be resilient, and get such problems solved since you have a country with a lot of opportunities.” Retired Major David Rwabinumi, one of the 600 Rwanda Patriotic Army soldiers who were allowed in Kigali and accommodated at CND by 1993 (present parliamentary building) during the transitional government, was the guest speaker at the night gathering and shared memories of resilience with the youth. ALSO READ: To live, love, die for a cause – eulogy for Rwanda’s Unknown Soldier Rwabinumi is the person in a monument of a man operating a 12.7mm heavy machine gun on top of the parliamentary building. The gun was instrumental in keeping Juvenal Habarimana’s army at bay between April 7 and April 21. The weapon was one of the two higher caliber guns the RPA had been allowed to have at CND when they first deployed their protection force there on December 28, 1993. Rwabinumi said that knowing what he was fighting for made him stronger and stayed courageous and never lost hope at any moment of the war. ALSO READ: What can youth pick from Rwanda’s heroes? “I kept fighting not because I am fearless but because I clearly understood the cause we were fighting for,” he said. Pacifique Ufitinema, 19, and Jeannette Byukusenge, 19, both are secondary students in TTC at Gacuba II, were among the youth who attended the concert. They told The New Times that they are committing to taking on the message they were given."
8,Over 80 RIB investigators sacked over corruption,https://www.newtimes.co.rw/article/4800/news/rwanda/rwandans-in-us-host-prayer-banquet-for-country,"Thirty six people who sustained injuries when a maize drying shelter collapsed in Rusororo Sector, Gasabo District, on February 3, have been discharged after receiving treatment, Masaka District Hospital officials have said. The incident, which occurred around 8:30 am, on Friday, according to maize farmers, caused the death of 11 people. Speaking to The New Times on Saturday, February 4, Damascene Hanyurwimfura, the Director General of Masaka Hospital, said that the hospital received 45 injured people and transferred nine to other hospitals for further treatment. “There were seven who were critically ill and we transferred them to Kanombe [Rwanda Military Hospital] because they had sustained fractures such as that of thigh bone.” The remaining two were sent to the University Teaching Hospital of Kigali (CHUK) as they were suffering from back pain and needed a CT scan to properly examine their injuries so they could get proper treatment. Of the 36 patients who were getting treatment at the Masaka hospital, he said, only four spent a night there. The others were discharged on Friday, the same day they were admitted. “The four patients stayed in the hospital for one night because they were in pain. But their medical condition improved and we have discharged them,” he said. READ ALSO: Survivors of Rusororo tragic accident narrate horrific ordeal Telesphore Gashugi, president of Abaharanira Ubukire Gasagara farmers’ cooperative whose maize drying shelter collapsed, on Saturday told The New Times that there was improvement in all the discharged patients’ medical condition. “They were given medicines which they are taking, and will have medical follow-ups if need be,” he said. His wife is among the people discharged. She was suffering from leg and chest pain."
9,PM Ngirente consoles victims of Rusororo tragic accident,https://www.newtimes.co.rw/article/4341/news/africa/ugandas-gen-muhoozi-says-to-hold-49th-birthday-in-kigali,"President Paul Kagame on Tuesday, February 7, met with the chair of International Vaccine Institute (IVI) Board of Trustees, George Bickerstaff, who is in Rwanda to explore potential areas of collaboration in bio-manufacturing. Bickerstaff alongside his visiting team, including the IVI Director General, Jerome Kim, have been in Kigali for the past two days. Also Read: Vaccine factory construction in Rwanda set for this month According to the office of the President, discussions centered around vaccine research and development. Prior to meeting with the head of state, the team also met with officials from the Ministry of Health. Bickerstaff and his team visit Rwanda a few months after the country was welcomed as the newest member of the IVI, an organization which aims to discover, develop, and deliver safe, effective, and affordable vaccines for global health. At the time, Rwanda joined 38 other countries and the World Health Organization as member states of IVI. Global collaboration, vaccine availability and equity, as well as strong vaccination campaigns are key to ending the pandemic while preserving effective routine immunization programs across all continents, according to experts. And to reach that goal, there is a need to support each country to invest in human capacity, health systems, and infrastructure. This can be achieved through the support of partners such as Gavi, UNICEF, IVI, among others."
